Nº;Dificuldade;Questão;Onde?;Como Preencher?;OBSERVAÇÕES;Tipo;Palavras-chave RAG
2;Médio;Qual é a receita líquida da empresa? ;2.1, item h, Condições financeiras e patrimoniais;"COPIAR ""Receita de vendas de bens e serviços"" Atentar-se para a necessidade de multiplicar por mil ou milhão Também pode ser obtido nas DFs";"Campo Aberto - Observar se o número está em RS (mil), em caso positivo incluir 000 no final. (Em Bancos estará nomeado como ""Receitas da Intermediação Financeira"")";MONETARIA;item h, Receita operacional líquida, tabela de demonstração de resultado, R$, mil, milhão, valor, exercício, 31/12
3;Médio;Qual é o lucro líquido da empresa?;2.1, item h, Condições financeiras e patrimoniais;"COPIAR o valor do ""Lucro Líquido"". Atentar-se para o prejuizo, se prejuizo incluir ""-"". Também pode ser obtido nas DFs";Campo aberto, preencher com número. Caso esteja em RS (mil), incluir 000 no final.;MONETARIA;item h, Lucro líquido, demonstrações financeiras, R$, mil, milhão, valor, exercício, 31/12
5;Fácil;Qual é a firma de auditoria independente?;9.1, item a, Auditoria independente;"Coletar o nome da firma de auditoria independente do ultimo ano. Se Deloitte ou Ernest, abreviar conforme ao lado.";"DELOITTE = DTT ERNEST E YOUNG = EY KPMG PWC";TEXTO_ESPECIFICO;nome da firma, último exercício
6;Difícil;Qual o valor dos gastos anuais com a empresa de auditoria independente?;9.1, Auditoria independente;"COPIAR e COLAR > ""Montante total da remuneração dos auditores independentes segregado por serviço"". Considerar último ano. (ADICIONAR CARTA CONFORTO)";Campo Aberto - Somar os gastos caso a firma preste outros serviços.;MONETARIA;remuneração anual, tabela de serviços, R$, mil, valor, exercício, 31/12
8;Difícil;Qual o valor dos eventuais gastos com serviços adicionais prestados pela firma de auditoria independente?;9.1, item c, Auditoria independente;CALCULAR o montante dos gastos referentes aos serviços não associados à AUDITORIA (externa).;Campo Aberto - Atentar-se ao (R$ mil);MONETARIA;serviços adicionais, tabela de gastos, R$, mil, valor, exercício, 31/12
10;Médio;A companhia possui uma política de gerenciamento de riscos?;5.1, item a, Política de gerenciamento de riscos;"SIM - Caso a empresa não tenha uma política de gerenciamento de riscos única, mas sim várias políticas (Política de Risco de Crédito, Política de Risco Cambial, etc) buscar a de riscos estratégicos ou risco de estratégia. NÃO - Se a empresa informa que não tem política de gerenciamento de riscos NÃO DIVULGADO - A empresa não disponibilizou essa informação";Opções - Sim, Não ou Não Divulgado;SIM_NAO;política de risco estratégico, política de crédito, política cambial
14;Fácil;A empresa divulga a existência de auditoria interna?;5.2, Auditoria interna;"SIM = A empresa divulga a existência de auditoria interna NÃO = A empresa não divulga se tem auditoria interna";Opções - Sim, Não;SIM_NAO;existência, estrutura de controles internos
15;Médio;O sistema de controles internos da companhia está adequado?;5.2, item a, Sistema de controles internos;"SIM = A empresa cita ter uma estrutura de controles internos adequada. NÃO = A empresa afirma categoricamente que o sistema de controles NÃO está adequado Não Divulgado = A empreas não disponibiliza a informação Não Aplicado = Não existe sistema de controle na empresa";Opções - Sim, Não, Não Divulgado e Não Aplicado;SIM_NAO;estrutura adequada
16;Médio;Houve deficiências ou recomendações significativas sobre os controles internos apresentadas pelo auditor independente?;5.2, item d, Deficiências;"SIM = HOUVE deficiências OU recomendações. NÃO = Sem deficiências ou recomendações NÃO DIVULGADO = A empresa não disponibilizou essa informação";Opções - Sim, Não e Não Divulgado;SIM_NAO;recomendações, auditor independente, controles internos
18;Fácil;O emissor divulga informações sociais e ambientais e de governança corporativa (ASG)?;1.9, item a, Informações ASG;"SIM= a empresa cita que divulga o Relatório Anual Integrado, o Relatório de Sustentabilidade ou algum outro documento do tipo NÃO = a empresa não divulga informações sociais e ambientais";Opções - Sim, Não e Não Aplicado;SIM_NAO;relatório anual integrado, relatório de sustentabilidade
19;Fácil;O Conselho Fiscal está instalado?;7.3, item a, Conselho Fiscal;"SIM = A empresa afirma que o Conselho Fiscal está instalado (Hoje). NÃO = A empresa afirma que o Conselho Fiscal NÃO está instalado NÃO DIVULGADO = Informação não disponibilizada";Opções - Sim, Não, Não Divulgado;SIM_NAO;instalação, estrutura de administração, 7.3, composição
23;Difícil;Quantos Comitês do Conselho de Administração?;7.2, item a, 7.4, Comitês do Conselho de Administração;CONTAR o número de Comitês do Conselho de Administração.;;CONTAGEM;composição, 7.4, site da CVM
27;Difícil;A companhia possui regras específicas de identificação e administração de conflitos de interesses?  ;7.1, item c, 11.1, Regras de conflitos de interesses;Há duas possibilidade de resposta: Regras sobre conflitos de interesses OU Política de transação com partes relacionadas. Devemos considerar OU uma OU outra.;;TEXTO_ESPECIFICO;política de transação com partes relacionadas, 11.1
30;Médio;Quantos membros compõem o Conselho de Administração?;7.3, 7.1, item d, Conselho de Administração, composição, efetivos;CONTAR a quantidade de Conselheiros de Administração (EFETIVOS) incluido Presidente e Vice Presidente.;A soma dos externos, independentes e executivos tem que ser igual ao número total de membros. NÃO CONTAR SUPLENTES.;CONTAGEM;presidente, vice-presidente, 7.1, item d
31;Médio;Quantas mulheres no Conselho de Administração?;7.3, Conselho de Administração, mulheres;CONTAR a quantidade de mulheres no Conselho de Administração.;;CONTAGEM;diversidade, 7.1, item d
32;Médio;Quantos conselheiros são externos?;7.3,Conselho de Administração, conselheiros externos;CONTAR a quantidade de Conselheiros que NÃO atuam como Diretores da companhia (EXECUTIVOS) e NÃO são Independentes.;;CONTAGEM;composição
